Codice,Rif_Orig,Descrizione,Modelli_Compatibilita
85412594,L79270,"GRANIT Squadretta","Modelli: 6010, 6100, 6110, 6200, 6205, 6210, 6220"
4990027,,"Blister Set tirante cofano compl. di supporto, corto","Versione: corto, A: 18x18, B: 65"
4890021,,"Blister Set tirante cofano compl. di supporto, media lunghezza","Versione: media lunghezza, A: 25, B: 120"
22010186,,"GRANIT Anello elastico regolabile","Dimensioni (mm): lunghezza = 280, Materiale: caucciù naturale"
22010236,,"GRANIT Anello in gomma resistente ai raggi UV e all'abrasione","Ø: 8, lunghezza = 200"
22010238,,"GRANIT Anello in gomma resistente ai raggi UV e all'abrasione","Ø: 8, lunghezza = 400"
65406337,X53686022000,"GRANIT Clip doppia","Rif. orig.: X53686022000"
65406350,F178810130030,"GRANIT Perno Dart","Rif. orig.: F178810130030"
65406352,816500020200,"GRANIT Filettatura M6 x 14 testa 18 mm","Rif. orig.: 816500020200"
65406354,816500020210,"GRANIT Nottolino di supporto","Rif. orig.: 816500020210"
85412511,L158118,"GRANIT Ammortizzare","Modelli: 5620, 5720, 5820, 6010, 6020, 6090MC"
200CPA405,01261,"GRANIT Cassetta portautensili","Larghezza (mm): 420, Altezza (mm): 130, Profondità (mm): 130"
200CPA406,01262,"GRANIT Cassetta portautensili","Larghezza (mm): 500, Altezza (mm): 250, Profondità (mm): 250"
200CPA403,01431,"GRANIT Cassetta attrezzi","Larghezza (mm): 300, Altezza (mm): 90, Profondità (mm): 90"
200CPA407,01276,"GRANIT Cassetta portautensili","Larghezza (mm): 300, Altezza (mm): 150, Profondità (mm): 200"
200CPA408,,"GRANIT Cassetta portautensili","Larghezza (mm): 420, Altezza (mm): 160, Profondità (mm): 160"
200CPA409,,"GRANIT Cassetta degli attrezzi","Larghezza (mm): 400, Altezza (mm): 330, Profondità (mm): 350"
20099012,01227,"GRANIT Cassetta portautensili piccola","Larghezza (mm): 270, Altezza (mm): 90, Profondità (mm): 151"
20099013,01228,"GRANIT Cassetta portautensili medio","Larghezza (mm): 270, Altezza (mm): 136, Profondità (mm): 151"
20099014,01398,"GRANIT Cassetta portautensili grande","Larghezza (mm): 420, Altezza (mm): 125, Profondità (mm): 125"
200120024,RE275592,"GRANIT Cassetta portautensili","Rif. orig.: RE275592, AL157690, AT22071"
85415102,1696186M94,"GRANIT Cassetto d'attrezzi JUST 500","Rif. orig.: 1696186M94"
85415693,4289100M92,"GRANIT Cassetto d'attrezzi JUST 500","Rif. orig.: 4289100M92"
85415684,4290720M1,"GRANIT Cilindro di chiusura chiave compatibile 50715305","Rif. orig.: 4290720M1"
85412504,L155125,"GRANIT Perno sferico fissaggio rivestimento laterale","Modelli: 5070M, 5080M, 5080R, 5090RN, 5090M"
85412502,L152591,"GRANIT Manicotto in gomma per fondo AL173712","Modelli: 6105M, 6110M, 6115M, 6120, 6120M, 6120SE"
85412517,L169856,"GRANIT Manicotto in gomma per fondo AL173708","Modelli: 6105M, 6110M, 6115M, 6120, 6120M, 6120SE"
85412552,L40645,"GRANIT Molla (serie da 15 pz.)","Modelli: 1040, 1140, 1350, 1550, 1640, 1750"
85412367,21M7452,"GRANIT Vite","Modelli: 5220, 5320, 5420, 5520, 7600, 7610, 7630"
85412650,R67515,"GRANIT Soffietto","Modelli: 1640 (nr. di serie 430000 ->), 2040 (nr. di serie 430000 ->)"
20023185,,"GRANIT Tirante cofano lungo","Versione: lungo, A: 25, B: 150"
20023184,,"GRANIT Tirante cofano compl. di supporto, lungo","Versione: lungo, A: 25, B: 150"
85406326,X509043201010,"GRANIT Tappo","Rif. orig.: X509043201010"
65406336,X536804822000,"GRANIT Clip doppia","Rif. orig.: X536804822000"
65412501,L151980,"GRANIT Dado di fissaggio","Modelli: 5055E, 5065E, 5065M, 5070M, 5075E, 5075M"
50770598047,14603,"GRANIT Chiave di ricambio rivestimento in materiale plastico nero","Numero di chiusura: 14603, Codice Menke: 80950"
65412608,P54140,"GRANIT Staffa a U","Modelli: 1350, 1550, 1750, 1850, 1850N, 1950, 1950N"
85412621,R184730,"GRANIT Molla (serie da 15 pz.)","Modelli: 5055E, 5065E, 5065M, 5075E, 5075M, 5090M"
85412354,03M7284,"GRANIT Vite","Trinciaforaggi: 5420, 5440, 6081HZ013, 6125HZ007"
85412362,19M9653,"GRANIT Vite","Modelli: 1550, 1840 (nr. di serie 430000 ->), 1750"
85412356,14M7324,"GRANIT Dado di fissaggio","Trinciaforaggi: 6081HZ013, 6125HZ007"
85412358,19H2705,"GRANIT Vite a testa esagonale","Trinciaforaggi: 7950, 7980, 8700, 8800, 8900"
